,articleType,code,image
21252,Deodorant,27,58958.jpg
14314,Tops,6,37185.jpg
27981,Track Pants,28,28519.jpg
19681,Sarees,25,57972.jpg
13284,Sports Shoes,4,25423.jpg
19415,Shorts,20,44906.jpg
30821,Jackets,36,7682.jpg
18786,Tshirts,0,34440.jpg
8972,Kurtas,5,46992.jpg
14631,Shirts,1,2127.jpg
38941,Trunk,46,18680.jpg
17187,Kurta Sets,54,39139.jpg
42694,Caps,31,18211.jpg
22366,Shirts,1,10800.jpg
26340,Heels,8,15524.jpg
12008,Wallets,10,27772.jpg
4301,Socks,16,24661.jpg
3888,Casual Shoes,2,29571.jpg
6020,Kurtas,5,22045.jpg
364,Casual Shoes,2,19772.jpg
43779,Tshirts,0,19167.jpg
33803,Backpacks,15,7060.jpg
31099,Sweatshirts,30,14316.jpg
15122,Tops,6,41762.jpg
37483,Tshirts,0,34393.jpg
40709,Kurtis,38,40598.jpg
1336,Belts,14,33473.jpg
4048,Watches,3,43191.jpg
18027,Shirts,1,33492.jpg
5584,Casual Shoes,2,22841.jpg
7875,Shirts,1,40668.jpg
34185,Tshirts,0,18308.jpg
30346,Kurtas,5,59912.jpg
31867,Socks,16,30540.jpg
37179,Track Pants,28,29023.jpg
41695,Watches,3,36782.jpg
23082,Tshirts,0,13816.jpg
29125,Sports Shoes,4,31207.jpg
2496,Tshirts,0,14001.jpg
30692,Tshirts,0,49941.jpg
26038,Earrings,26,31711.jpg
3067,Tshirts,0,38638.jpg
6930,Lipstick,35,56531.jpg
11861,Watches,3,45134.jpg
38733,Stockings,80,59881.jpg
37254,Trousers,21,27925.jpg
14304,Heels,8,33525.jpg
8432,Briefs,13,50455.jpg
3522,Tops,6,43539.jpg
26044,Sunglasses,9,38233.jpg
32258,Briefs,13,28128.jpg
22257,Watches,3,26337.jpg
31345,Tops,6,24548.jpg
18560,Nightdress,40,55826.jpg
7990,Ties,34,50294.jpg
761,Handbags,7,47368.jpg
32799,Tops,6,57817.jpg
14159,Heels,8,2912.jpg
41201,Ring,49,48953.jpg
15897,Tops,6,33743.jpg
20916,Wallets,10,42069.jpg
5869,Foundation and Primer,61,49113.jpg
597,Tshirts,0,53761.jpg
24810,Handbags,7,47337.jpg
1461,Sports Shoes,4,3307.jpg
29982,Accessory Gift Set,53,25058.jpg
20410,Jeans,19,44930.jpg
43492,Shirts,1,54993.jpg
21865,Shirts,1,13252.jpg
12522,Wallets,10,38359.jpg
15877,Trousers,21,31014.jpg
25853,Heels,8,39588.jpg
2581,Flats,22,13640.jpg
43915,Highlighter and Blush,77,55277.jpg
10294,Kurtas,5,19060.jpg
36455,Ties,34,49755.jpg
32007,Shirts,1,33331.jpg
7605,Tops,6,33163.jpg
33442,Shorts,20,7432.jpg
21267,Free Gifts,56,44963.jpg
38948,Jackets,36,6891.jpg
24287,Handbags,7,58189.jpg
474,Tshirts,0,24091.jpg
18595,Bra,23,59081.jpg
37990,Tshirts,0,15648.jpg
13439,Handbags,7,34764.jpg
28203,Watches,3,46559.jpg
15587,Caps,31,33775.jpg
12255,Backpacks,15,4684.jpg
31688,Dresses,24,58001.jpg
42989,Tshirts,0,30622.jpg
26910,Clutches,29,31921.jpg
4012,Shorts,20,4989.jpg
33773,Trousers,21,40282.jpg
13178,Tshirts,0,23176.jpg
11039,Tops,6,39222.jpg
3454,Kurtas,5,28696.jpg
28564,Tshirts,0,7442.jpg
36798,Tops,6,19645.jpg
4310,Flip Flops,11,35521.jpg
10730,Deodorant,27,23597.jpg
40685,Sports Shoes,4,46805.jpg
10074,Nail Polish,32,55370.jpg
36581,Stoles,57,35020.jpg
18375,Sandals,12,7371.jpg
24838,Tshirts,0,37272.jpg
21520,Casual Shoes,2,4733.jpg
4221,Tshirts,0,14656.jpg
39289,Sports Shoes,4,24419.jpg
17199,Wallets,10,23691.jpg
21735,Shirts,1,33493.jpg
19545,Socks,16,32171.jpg
20304,Necklace and Chains,44,54160.jpg
22207,Highlighter and Blush,77,56616.jpg
38492,Tops,6,7032.jpg
37550,Tshirts,0,21225.jpg
26546,Jackets,36,6882.jpg
11321,Kajal and Eyeliner,55,56176.jpg
3355,Sandals,12,41869.jpg
6614,Tshirts,0,39067.jpg
7039,Hair Colour,86,55516.jpg
23797,Deodorant,27,44389.jpg
4133,Tshirts,0,30295.jpg
3058,Tshirts,0,24055.jpg
42992,Tshirts,0,7585.jpg
26119,Casual Shoes,2,33845.jpg
8423,Shirts,1,14517.jpg
17158,Shirts,1,33067.jpg
